search_timestamp,geo_location_country,is_mobile,destination_id,checkin_date,checkout_date,adult_count,child_count,infant_count,room_count,is_travel_ad1,review_rating1,review_count1,star_rating1,is_free_cancellation1,is_drr1,price_bucket1,num_clicks1,is_trans1,is_travel_ad2,review_rating2,review_count2,star_rating2,is_free_cancellation2,is_drr2,price_bucket2,num_clicks2,is_trans2,is_travel_ad3,review_rating3,review_count3,star_rating3,is_free_cancellation3,is_drr3,price_bucket3,num_clicks3,is_trans3
2021-06-15T19:12:00Z,2,1,390,2021-06-15,2021-06-16,2,0,0,1,0,5,1175,4,0,0,3,0,0,0,5,325,4,0,0,5,0,0,0,4,1325,3,0,0,1,0,0
2021-06-08T19:53:00Z,1,0,61050,2021-06-22,2021-06-23,2,0,0,1,0,5,150,3,1,0,4,0,0,0,4,175,3,1,0,3,0,0,0,3,375,2,0,0,2,0,0
2021-06-10T04:23:00Z,1,0,3137,2021-11-17,2021-11-24,2,0,0,1,0,5,100,5,1,1,5,0,0,0,5,50,4,0,1,4,0,0,0,4,425,3,1,1,1,0,0
2021-06-21T23:46:00Z,1,1,5,2021-06-22,2021-06-23,1,0,0,1,1,3,1025,2,1,1,1,0,0,1,4,1025,2,1,1,1,0,0,0,4,375,4,0,1,2,0,0
2021-06-14T17:17:00Z,1,0,866,2021-07-04,2021-07-05,1,0,0,1,1,4,2025,3,1,1,1,0,0,1,4,650,4,1,1,4,0,0,1,4,650,3,1,0,3,0,0
2021-06-10T00:40:00Z,15,0,8,2021-11-12,2021-11-19,6,2,0,1,1,5,1625,4,1,0,3,0,0,0,5,1625,4,1,0,4,0,0,0,4,2425,4,1,0,2,0,0
2021-07-01T23:55:00Z,1,1,145,2021-07-01,2021-07-02,1,0,0,1,0,4,2900,4,0,1,3,0,0,0,4,2725,3,0,1,1,0,0,0,4,4850,4,0,1,4,0,0
2021-07-08T17:09:00Z,1,1,7,2021-07-20,2021-07-22,2,0,0,1,0,4,3625,4,1,1,1,0,0,1,3,3525,3,1,1,1,0,0,1,4,350,5,0,1,3,0,0
2021-07-31T13:08:00Z,6,0,3593,2021-08-24,2021-08-30,2,0,0,1,0,5,25,4,0,0,NA,0,0,1,5,100,4,0,1,5,0,0,0,4,25,4,1,0,3,0,0
2021-06-16T04:38:00Z,1,0,915,2021-08-07,2021-08-16,2,0,0,1,1,3,1025,2,1,1,1,0,0,0,5,300,5,1,1,5,0,0,0,5,500,3,1,1,3,0,0
2021-06-11T22:30:00Z,1,1,10,2021-06-17,2021-06-19,3,1,0,1,1,5,725,5,1,1,2,2,0,1,4,1425,5,1,1,5,0,0,1,4,950,4,1,1,3,2,0
2021-06-04T19:44:00Z,1,0,2374,2021-07-31,2021-08-01,4,0,0,1,0,4,1025,3,0,0,NA,0,0,1,3,775,2,1,0,1,0,0,1,4,850,3,1,0,4,2,0
2021-07-19T01:31:00Z,1,1,7,2021-07-18,2021-07-19,1,0,0,1,0,4,14525,4,0,1,5,0,0,1,4,100,5,0,0,3,0,0,1,5,5100,5,0,1,5,0,0
2021-06-11T01:27:00Z,1,0,5,2021-07-05,2021-07-09,2,0,0,1,1,4,400,4,1,1,5,0,0,1,4,1375,4,1,1,5,0,0,1,4,1025,3,1,1,1,0,0
2021-06-18T06:54:00Z,1,0,397,2021-07-05,2021-07-08,2,0,0,1,1,5,925,3,1,1,4,0,0,1,5,925,3,1,1,3,0,0,0,5,1025,4,1,1,3,0,0
2021-06-10T18:59:00Z,1,0,60,2021-12-24,2021-12-27,2,0,0,1,1,4,1025,3,1,0,2,0,0,0,4,1025,3,1,1,2,0,0,0,5,1950,4,1,1,2,0,0
2021-06-10T19:47:00Z,1,1,8,2021-06-16,2021-06-22,2,0,0,1,1,5,1275,5,1,1,5,0,0,1,5,700,4,1,1,5,0,0,0,4,3850,4,1,1,2,1,0
2021-07-26T08:23:00Z,3,0,492,2021-08-07,2021-08-08,2,0,0,1,1,5,1025,4,1,0,2,0,0,1,5,1000,4,1,1,1,0,0,1,5,1200,4,1,0,3,0,0
2021-06-12T03:32:00Z,8,0,3288,2021-06-14,2021-06-15,2,2,0,1,0,4,200,3,0,0,NA,0,0,0,5,75,4,1,1,5,0,0,0,3,50,3,1,1,5,0,0
2021-07-05T00:11:00Z,2,1,1101,2021-09-25,2021-10-09,2,0,0,1,0,4,750,4,0,1,4,0,0,0,4,1025,3,0,1,2,0,0,0,4,675,4,1,1,3,0,0
2021-06-20T04:13:00Z,14,0,983,2021-07-19,2021-07-20,2,0,0,1,0,4,25,3,0,1,2,0,0,0,4,1125,5,1,1,4,0,0,0,5,1000,5,1,1,5,0,0
2021-07-29T03:13:00Z,1,1,903,2021-08-05,2021-08-08,1,0,0,1,1,4,425,3,0,0,4,0,0,1,3,925,2,1,0,3,0,0,0,4,400,3,1,1,5,0,0
2021-07-18T19:31:00Z,5,0,1236,2021-07-22,2021-07-23,2,0,0,1,0,4,1000,4,0,0,2,1,0,1,4,675,4,0,0,2,0,0,1,4,700,4,0,1,1,0,0
